image_path,true_label,pred_label,defect_type,mask_path
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_001.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_002.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_003.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_004.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_005.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_006.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_007.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_008.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_009.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_010.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_011.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_012.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_013.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_014.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_015.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_016.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_017.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_018.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_019.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_020.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_021.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_022.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_023.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_024.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_025.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_026.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_027.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_028.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\good\hazel_test_good_029.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_001.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_001_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_002.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_002_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_003.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_003_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_004.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_004_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_005.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_005_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_006.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_006_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_007.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_007_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_008.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_008_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_009.png,1,1,crack,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_009_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_010.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_010_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_011.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_011_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_012.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_012_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_013.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_013_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_014.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_014_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_015.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_015_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_016.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_016_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_017.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_017_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_018.png,1,1,cut,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_018_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_019.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_019_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_020.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_020_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_021.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_021_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_022.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_022_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_023.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_023_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_024.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_024_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_025.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_025_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_026.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_026_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_027.png,1,1,hole,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_027_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_028.png,1,1,print,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_028_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_029.png,1,1,print,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_029_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_030.png,1,1,print,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_030_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_031.png,1,1,print,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_031_mask.png
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_032.png,1,1,print,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_032_mask.png
