image_path,true_label,pred_label,defect_type,mask_path
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_001.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_002.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_003.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_004.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_005.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_006.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_007.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_008.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_009.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_010.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_011.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_012.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_013.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_014.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_015.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_016.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_017.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_018.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_019.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_020.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_021.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_022.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_023.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_024.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_025.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_026.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_027.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_028.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_029.png,0,0,good,
E:\Research\Code_Start\data\preprocessed\screw\test\good\screw_test_good_030.png,0,0,good,
